"FIPS","STNAME","CTYNAME","AGEGRP","AGE_GROUP","TOT_POP","NH_POP","H_POP","WA_POP","BA_POP","AA_POP","NA_POP","TOT_MALE","NH_MALE","H_MALE","WA_MALE","BA_MALE","AA_MALE","NA_MALE","TOT_FEMALE","WA_FEMALE","BA_FEMALE","AA_FEMALE","NA_FEMALE","NH_FEMALE","H_FEMALE","high_number","WA_MH"
42001,"Pennsylvania","Adams County",0,"Total",102811,95504,7307,97878,2028,900,47,50589,46690,3899,48111,1111,378,26,52222,49767,917,522,21,48814,3408,1,9510.1701951017
42003,"Pennsylvania","Allegheny County",0,"Total",1218452,1191890,26562,975555,163433,49988,441,588896,575427,13469,474044,75463,25170,191,629556,501511,87970,24818,250,616463,13093,1,8049.70656958105
42005,"Pennsylvania","Armstrong County",0,"Total",65263,64744,519,63724,600,200,8,32502,32243,259,31682,360,82,3,32761,32042,240,118,5,32501,260,1,9747.7078333641
42007,"Pennsylvania","Beaver County",0,"Total",164742,162048,2694,149422,10519,949,63,80005,78634,1371,72577,5138,384,33,84737,76845,5381,565,30,83414,1323,1,9071.55802762327
42009,"Pennsylvania","Bedford County",0,"Total",48176,47583,593,47044,332,209,21,24000,23653,347,23418,200,83,12,24176,23626,132,126,9,23930,246,1,9757.5
42011,"Pennsylvania","Berks County",0,"Total",420152,327983,92169,366293,30269,6742,744,206740,160449,46291,179755,15404,3114,372,213412,186538,14865,3628,372,167534,45878,1,8694.73735126245
42013,"Pennsylvania","Blair County",0,"Total",122492,120892,1600,117077,2455,874,34,59979,59117,862,57075,1377,419,23,62513,60002,1078,455,11,61775,738,1,9515.83054068924
42015,"Pennsylvania","Bradford County",0,"Total",60833,59918,915,59002,503,382,12,30157,29677,480,29209,319,157,8,30676,29793,184,225,4,30241,435,1,9685.64512385184
42017,"Pennsylvania","Bucks County",0,"Total",628195,593599,34596,555198,27543,32220,376,308395,290646,17749,272797,13635,15259,180,319800,282401,13908,16961,196,302953,16847,1,8845.70113004426
42019,"Pennsylvania","Butler County",0,"Total",187888,184966,2922,180191,2491,2754,64,93117,91635,1482,89034,1466,1371,30,94771,91157,1025,1383,34,93331,1440,1,9561.51937884597
